epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.342,3.8768,4.78098,2.50628,0,0,0,0,3.71525,4.59796,1.7758,0,0,0
2,447.685,3.2342,4.62544,2.01782,0,0,0,0,3.63857,4.42689,1.76262,1.23763e-05,1.23763e-05,1.23763e-05
3,641.685,3.70626,4.44754,2.04317,0.00192,0.02344,0.00113,0.00049,3.22375,4.09687,1.62314,2.4505e-05,2.4505e-05,2.4505e-05
4,855.617,3.49373,4.02009,2.00441,0.10661,0.11719,0.07778,0.03282,2.44158,3.28126,1.37228,3.63862e-05,3.63862e-05,3.63862e-05
5,1065.74,3.12424,3.68862,1.65792,0.63638,0.23438,0.16557,0.04968,2.08603,2.70035,1.16121,4.802e-05,4.802e-05,4.802e-05
6,1284.33,2.00978,2.79539,1.33026,0.0856,0.28125,0.0979,0.02751,2.51108,5.02485,1.37443,5.94062e-05,5.94062e-05,5.94062e-05
7,1524.66,1.98987,2.33504,1.31429,0.05905,0.21094,0.0512,0.01391,3.39998,37.9382,2.1866,7.0545e-05,7.0545e-05,7.0545e-05
8,1772.87,2.10502,3.35887,1.33705,0.40024,0.10938,0.07461,0.01935,3.55311,3.15501,2.44747,8.14362e-05,8.14362e-05,8.14362e-05
9,2023.37,2.10537,2.32164,1.2673,0.4519,0.17188,0.16126,0.05048,2.74513,2.5201,1.5365,9.208e-05,9.208e-05,9.208e-05
10,2308.45,2.23163,2.65333,1.19277,0.52826,0.21875,0.24998,0.11034,2.05965,2.617,1.14879,0.000102476,0.000102476,0.000102476
11,2560.81,1.67502,2.41517,1.10607,0.29111,0.4963,0.37732,0.1993,1.64972,6.43993,1.03808,0.000112625,0.000112625,0.000112625
12,2785.89,1.87895,1.9499,1.13764,0.4428,0.55504,0.3998,0.22263,1.58155,17.7856,1.01576,0.000122526,0.000122526,0.000122526
13,3022.5,1.56953,1.68017,1.05627,0.35262,0.56739,0.43764,0.26075,1.47845,10.5548,0.99784,0.00013218,0.00013218,0.00013218
14,3259.64,1.36832,1.99417,1.02046,0.17971,0.56579,0.28126,0.16362,1.53698,6.78936,1.00926,0.000141586,0.000141586,0.000141586
15,3488.56,1.54328,1.79306,1.05399,0.34853,0.58044,0.35227,0.20429,1.5744,8.64257,1.01475,0.000150745,0.000150745,0.000150745
16,3704.67,1.66573,1.76588,0.98888,0.39162,0.53721,0.45277,0.24366,1.60663,11.7503,1.01929,0.000159656,0.000159656,0.000159656
17,3902.34,1.47939,1.52181,0.99547,0.36639,0.61093,0.43309,0.21784,1.57369,16.9387,1.01451,0.00016832,0.00016832,0.00016832
18,4118.41,1.64534,1.63304,1.007,0.36639,0.61093,0.43309,0.21784,1.57369,16.9387,1.01451,0.000176736,0.000176736,0.000176736
19,4355.22,1.61691,1.78979,1.03368,0.30791,0.59616,0.3607,0.17812,1.59824,25.5906,1.00768,0.000184905,0.000184905,0.000184905
20,4585.82,2.03448,1.96427,1.09183,0.30791,0.59616,0.3607,0.17812,1.59824,25.5906,1.00768,0.000192826,0.000192826,0.000192826
21,4841.08,1.38233,1.45934,0.98819,0.22602,0.65855,0.20382,0.09731,1.60176,40.8678,1.00938,0.0002005,0.0002005,0.0002005
22,5056.16,1.51304,1.63818,1.01018,0.26382,0.48314,0.21061,0.10767,1.60176,40.8678,1.00938,0.000207926,0.000207926,0.000207926
23,5321.38,1.49771,1.59053,0.92987,0.13278,0.61102,0.1549,0.08556,1.48256,69.9535,0.9886,0.000215105,0.000215105,0.000215105
24,5572.34,1.44908,1.9064,0.98749,0.14305,0.62379,0.15144,0.07926,1.48256,69.9535,0.9886,0.000222036,0.000222036,0.000222036
25,5835.44,1.37653,2.174,0.99513,0.17759,0.48191,0.14077,0.08245,1.47469,100.83,0.98992,0.00022872,0.00022872,0.00022872
26,6060.7,1.46798,1.3039,0.95613,0.14297,0.64466,0.12607,0.07037,1.47469,100.83,0.98992,0.000235156,0.000235156,0.000235156
27,6319.28,1.39186,1.47667,0.95626,0.17815,0.61595,0.15062,0.09158,1.34748,101.52,0.96141,0.000241345,0.000241345,0.000241345
28,6588.33,1.39007,1.39607,1.00703,0.14472,0.73314,0.13307,0.07876,1.34748,101.52,0.96141,0.000247286,0.000247286,0.000247286
29,6883.19,1.37905,1.3541,0.98257,0.13802,0.72533,0.13072,0.07608,1.41432,85.788,0.9785,0.00025298,0.00025298,0.00025298
30,7122.54,1.39862,1.32406,0.9716,0.13802,0.72533,0.13072,0.07608,1.41432,85.788,0.9785,0.000258426,0.000258426,0.000258426
31,7424.86,1.37186,1.3165,0.95903,0.13452,0.64309,0.13119,0.07616,1.37823,42.0951,0.96367,0.000263625,0.000263625,0.000263625
32,7625.1,1.62488,1.37782,0.95744,0.12631,0.68215,0.13067,0.07614,1.37823,42.0951,0.96367,0.000268576,0.000268576,0.000268576
33,7926.04,1.35705,1.43717,0.9578,0.18747,0.79482,0.23524,0.1318,1.43558,20.7828,0.97996,0.00027328,0.00027328,0.00027328
34,8177.54,1.49525,1.3598,0.92974,0.21745,0.69179,0.24148,0.13668,1.43558,20.7828,0.97996,0.000277736,0.000277736,0.000277736
35,8450.91,1.53376,1.46303,0.96866,0.21886,0.49548,0.21714,0.11226,1.64021,20.585,1.01667,0.000281945,0.000281945,0.000281945
36,8679.46,1.56297,1.44405,0.98437,0.22657,0.55304,0.23721,0.11938,1.64021,20.585,1.01667,0.000285906,0.000285906,0.000285906
37,8960.13,1.40826,1.32182,0.9399,0.25309,0.53721,0.25972,0.13111,1.68114,22.774,1.05864,0.00028962,0.00028962,0.00028962
38,9188.05,1.46761,1.27319,0.97386,0.25309,0.53721,0.25972,0.13111,1.68114,22.774,1.05864,0.000293086,0.000293086,0.000293086
39,9477.25,1.4638,1.47053,0.95658,0.23893,0.42475,0.23896,0.12609,1.65744,10.3746,1.0482,0.000296305,0.000296305,0.000296305
40,9719.56,1.48643,1.3502,0.94594,0.24302,0.55649,0.29681,0.15702,1.65744,10.3746,1.0482,0.000299276,0.000299276,0.000299276
41,9997.16,1.50354,1.26266,0.97956,0.28043,0.51442,0.32739,0.17408,1.73729,17.4616,1.07273,0.000302,0.000302,0.000302
42,10219.7,1.38242,1.69643,0.93705,0.30074,0.46809,0.30012,0.15701,1.73729,17.4616,1.07273,0.000304476,0.000304476,0.000304476
43,10479.8,1.44655,1.01448,0.909,0.33008,0.62664,0.37416,0.19413,1.67938,10.2738,1.04118,0.000306705,0.000306705,0.000306705
44,10704,1.24303,1.06937,0.92126,0.35955,0.56046,0.35755,0.18581,1.67938,10.2738,1.04118,0.000308686,0.000308686,0.000308686
45,10951.1,1.25394,0.93977,0.92711,0.34231,0.74777,0.42646,0.22335,1.52896,11.8322,0.98628,0.00031042,0.00031042,0.00031042
46,11181.4,1.15805,1.1284,0.91075,0.34231,0.74777,0.42646,0.22335,1.52896,11.8322,0.98628,0.000311906,0.000311906,0.000311906
47,11436.8,1.25423,1.49857,0.92369,0.58525,0.53947,0.46937,0.25823,1.5123,13.9578,0.97601,0.000313145,0.000313145,0.000313145
48,11664.9,1.27251,1.50461,0.99651,0.54739,0.66531,0.53391,0.29096,1.5123,13.9578,0.97601,0.000314136,0.000314136,0.000314136
49,11959.5,1.23381,1.14455,0.96097,0.35423,0.76439,0.50245,0.2842,1.46449,5.06448,0.96274,0.00031488,0.00031488,0.00031488
50,12250.3,1.23558,1.36765,0.93269,0.35423,0.76439,0.50245,0.2842,1.46449,5.06448,0.96274,0.000315376,0.000315376,0.000315376
51,12508.8,1.26527,1.20158,0.92759,0.62662,0.67866,0.5439,0.29735,1.51014,6.19753,0.9784,0.000315625,0.000315625,0.000315625
52,12732.3,1.31257,1.21603,0.91362,0.62662,0.67866,0.5439,0.29735,1.51014,6.19753,0.9784,0.000315626,0.000315626,0.000315626
53,13043.5,1.3057,1.06964,0.95414,0.62662,0.67866,0.5439,0.29735,1.51014,6.19753,0.9784,0.00031538,0.00031538,0.00031538
54,13347.3,1.1768,1.31757,0.91875,0.46645,0.87568,0.48233,0.28107,1.52488,8.47902,1.00351,0.000314886,0.000314886,0.000314886
55,13562.4,1.20808,0.98685,0.90966,0.46645,0.87568,0.48233,0.28107,1.52488,8.47902,1.00351,0.000314145,0.000314145,0.000314145
56,13878,1.31151,1.11778,0.91938,0.46645,0.87568,0.48233,0.28107,1.52488,8.47902,1.00351,0.000313156,0.000313156,0.000313156
57,14111.1,1.14229,0.83404,0.9108,0.50031,0.81513,0.48473,0.28001,1.50318,7.76826,1.01297,0.00031192,0.00031192,0.00031192
58,14341.5,1.21075,0.89034,0.94137,0.50031,0.81513,0.48473,0.28001,1.50318,7.76826,1.01297,0.000310436,0.000310436,0.000310436
59,14658.4,1.21762,0.86491,0.90344,0.50031,0.81513,0.48473,0.28001,1.50318,7.76826,1.01297,0.000308705,0.000308705,0.000308705
60,14947.6,1.23911,1.32069,0.93941,0.50444,0.64227,0.48332,0.25828,1.58201,4.93496,1.06027,0.000306726,0.000306726,0.000306726
61,15179.3,1.21013,1.11263,0.92572,0.50444,0.64227,0.48332,0.25828,1.58201,4.93496,1.06027,0.0003045,0.0003045,0.0003045
62,15466.6,1.19501,0.93632,0.92568,0.50444,0.64227,0.48332,0.25828,1.58201,4.93496,1.06027,0.000302026,0.000302026,0.000302026
63,15721,1.26195,1.13548,0.91716,0.56046,0.71365,0.45703,0.24502,1.64555,4.45932,1.0865,0.000299305,0.000299305,0.000299305
64,15941.1,1.34169,1.32166,0.98624,0.56046,0.71365,0.45703,0.24502,1.64555,4.45932,1.0865,0.000296336,0.000296336,0.000296336
65,16249.9,1.25513,0.99051,0.90466,0.56046,0.71365,0.45703,0.24502,1.64555,4.45932,1.0865,0.00029312,0.00029312,0.00029312
66,16509.7,1.23056,1.0703,0.91484,0.68274,0.83456,0.67149,0.38232,1.41545,2.93498,0.99965,0.000289656,0.000289656,0.000289656
67,16773.1,1.2315,0.98589,0.90546,0.68274,0.83456,0.67149,0.38232,1.41545,2.93498,0.99965,0.000285945,0.000285945,0.000285945
68,17066.6,1.21745,1.66056,0.91931,0.68274,0.83456,0.67149,0.38232,1.41545,2.93498,0.99965,0.000281986,0.000281986,0.000281986
69,17367.7,1.42334,0.9884,0.92936,0.59097,0.88519,0.66051,0.39413,1.37325,2.14704,0.97253,0.00027778,0.00027778,0.00027778
70,17615.1,1.15279,0.99203,0.8988,0.59097,0.88519,0.66051,0.39413,1.37325,2.14704,0.97253,0.000273326,0.000273326,0.000273326
71,17944.8,1.15463,1.01074,0.92851,0.59097,0.88519,0.66051,0.39413,1.37325,2.14704,0.97253,0.000268625,0.000268625,0.000268625
72,18349.2,1.14537,0.87544,0.89732,0.77366,0.86323,0.81941,0.47497,1.37803,1.25553,0.96946,0.000263676,0.000263676,0.000263676
73,18602.4,1.29576,0.99996,0.88684,0.77366,0.86323,0.81941,0.47497,1.37803,1.25553,0.96946,0.00025848,0.00025848,0.00025848
74,18858.6,1.12821,0.89181,0.9236,0.77366,0.86323,0.81941,0.47497,1.37803,1.25553,0.96946,0.000253036,0.000253036,0.000253036
75,19137.9,1.15061,0.83365,0.90624,0.85905,0.91425,0.92776,0.52798,1.41334,1.11316,0.97802,0.000247345,0.000247345,0.000247345
76,19354.2,1.09791,1.55178,0.93472,0.85905,0.91425,0.92776,0.52798,1.41334,1.11316,0.97802,0.000241406,0.000241406,0.000241406
